user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[4, 18]","[17, 4, 6]",4.0,10.82,14.82,2
1,[92],"[24, 23]",2.0,5.53,7.53,1
2,"[4, 92]","[17, 0, 23]",9.5,31.05,35.03,2
3,[4],"[0, 16]",2.0,9.42,11.42,1
4,"[4, 18, 192]","[17, 4, 0, 22]",15.0,28.85,31.52,2
5,"[18, 92, 164]","[1, 0, 24, 27]",19.4,29.45,33.97,3
6,"[164, 192, 14]","[26, 24, 0, 18]",22.0,46.53,43.52,4
7,"[164, 192, 14]","[26, 24, 0, 17]",10.1,42.32,39.42,4
8,[9],"[11, 8]",2.0,6.92,8.92,1
9,"[4, 8]","[17, 4, 5]",4.0,10.6,14.62,2
10,"[64, 92]","[26, 24, 21]",18.0,15.92,19.93,2
11,"[18, 92, 64]","[5, 0, 24, 25]",15.4,42.7,35.15,3
12,"[14, 8]","[14, 0, 3]",17.2,16.13,15.37,2
13,"[14, 19]","[18, 0, 10]",11.9,38.38,28.25,3
14,"[164, 9, 8]","[12, 13, 3, 1]",6.0,26.37,32.35,3
15,"[192, 18]","[21, 0, 6]",4.0,22.97,26.97,2
16,"[4, 92, 64]","[19, 0, 24, 26]",22.3,45.15,43.75,4
17,[9],"[3, 10]",2.0,9.78,11.78,1
18,"[18, 4]","[2, 0, 15]",17.6,18.7,17.3,2
19,[4],"[17, 0]",2.0,15.67,17.67,1
20,[19],"[8, 9]",2.0,3.47,5.47,1
21,"[92, 64]","[22, 24, 25]",23.0,13.22,17.18,2
22,"[92, 19]","[23, 0, 9]",14.0,31.43,27.2,3
23,"[9, 164]","[11, 13, 27]",21.0,10.08,14.1,2
24,"[92, 164, 9]","[21, 24, 13, 9]",16.0,28.13,28.05,2
25,"[4, 8]","[14, 4, 6]",21.1,15.77,17.82,2
26,[4],"[14, 20]",2.0,20.37,22.37,1
27,"[8, 4]","[2, 4, 20]",25.0,20.83,24.83,2
28,"[14, 19]","[14, 0, 10]",7.8,22.4,26.4,2
29,"[164, 192, 14]","[13, 24, 0, 16]",11.7,40.13,29.87,3
