number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:57:00,['4'],[]
2,19,09:03:28,09:22:00,['51'],[]
3,0,09:36:04,09:43:10,[],"['4', '51']"
4,15,09:45:56,10:27:00,['33'],[]
5,0,10:29:46,10:48:12,[],['33']
6,15,10:50:58,11:42:00,['31'],[]
7,18,11:51:14,11:53:14,[],['31']
8,15,12:02:28,12:17:00,['20'],[]
9,18,12:26:14,12:28:14,[],['20']
10,17,12:31:56,13:57:00,['34'],[]
11,0,14:05:31,14:07:31,['9'],['34']
12,18,14:19:05,14:21:05,[],['9']
13,20,14:26:37,14:47:00,['18'],[]
14,17,14:56:14,15:03:21,['3'],[]
15,0,15:11:52,15:13:52,[],"['3', '18']"
16,20,15:30:30,16:24:40,['16'],[]
17,21,16:28:22,19:00:00,[],['16']
