number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:00:00,[],[]
2,17,07:12:55,08:13:21,['37'],[]
3,15,08:20:00,08:22:00,['19'],[]
4,0,08:24:46,08:38:26,['56'],"['19', '37']"
5,18,08:50:00,08:52:00,['1'],[]
6,19,08:54:46,09:02:00,['69'],[]
7,21,09:08:28,09:10:28,[],"['56', '1', '69']"
8,20,09:14:10,09:27:43,['20'],[]
9,21,09:31:25,09:33:25,['59'],['20']
10,20,09:37:07,09:39:07,['34'],['59']
11,17,09:48:21,09:52:00,['61'],['34']
12,0,10:00:31,10:08:38,"['22', '53', '40']",['61']
13,15,10:11:24,10:13:24,[],['53']
14,20,10:27:28,10:29:28,[],"['22', '40']"
15,18,10:35:00,10:37:00,['24'],[]
16,0,10:48:34,10:50:34,[],['24']
17,19,11:04:38,11:10:01,['43'],[]
18,17,11:16:29,11:18:29,"['30', '64']",[]
19,0,11:27:00,11:44:38,['38'],"['64', '30', '43']"
20,19,11:58:42,12:00:42,[],['38']
21,16,12:09:13,12:11:13,['3'],[]
22,0,12:17:41,12:19:41,"['4', '25']",['3']
23,18,12:31:15,12:33:15,[],['4']
24,21,12:42:29,12:44:29,"['75', '2']",['25']
25,18,12:53:43,13:05:40,['63'],['75']
26,17,13:09:22,13:11:22,[],['2']
27,0,13:19:53,13:52:14,"['45', '9']",['63']
28,15,13:55:00,13:57:00,['6'],[]
29,16,14:00:42,14:02:42,[],['9']
30,19,14:11:13,14:27:34,[],"['6', '45']"
31,21,14:34:02,19:00:00,[],[]
