number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,3,07:16:51,08:47:00,['46'],[]
3,2,08:52:32,09:00:35,['27'],[]
4,0,09:12:00,09:14:00,[],"['46', '27']"
5,4,09:40:00,09:42:00,['43'],[]
6,1,10:02:18,10:20:35,"['25', '40']",['43']
7,0,10:26:47,10:28:47,['12'],"['25', '40']"
8,4,10:54:47,10:56:47,[],['12']
9,3,11:06:01,11:27:00,['39'],[]
10,4,11:36:14,11:38:14,[],['39']
11,3,11:47:28,11:58:28,['19'],[]
12,4,12:07:42,12:09:42,['32'],['19']
13,1,12:30:00,12:32:00,['17'],['32']
14,3,12:43:05,12:57:00,['6'],[]
15,4,13:06:14,13:08:14,[],"['6', '17']"
16,1,13:28:32,14:02:00,['48'],[]
17,0,14:08:12,19:00:00,[],['48']
