number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,2,07:11:25,08:17:00,['14'],[]
3,3,08:22:32,08:42:00,['26'],[]
4,4,08:51:14,08:53:46,['33'],"['26', '14']"
5,3,09:03:00,09:12:00,['30'],[]
6,0,09:28:51,09:47:00,['24'],"['33', '30']"
7,3,10:03:51,10:07:00,['45'],[]
8,4,10:16:14,10:35:14,[],"['45', '24']"
9,2,10:50:00,10:52:00,['29'],[]
10,3,10:57:32,10:59:32,[],['29']
11,4,11:08:46,11:10:46,"['21', '0']",[]
12,2,11:25:32,11:36:41,[],"['0', '21']"
13,0,11:48:06,19:00:00,[],[]
