user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[110, 121]","[8, 4, 2]",17.8,27.7,31.68,2
1,"[21, 120]","[2, 4, 12]",20.7,30.55,29.27,2
2,"[20, 110]","[14, 4, 5]",18.8,26.18,29.25,2
3,[20],"[12, 4]",4.0,15.78,17.77,1
4,-,-,-,-,23.1,2
5,[20],"[0, 14]",2.0,7.93,9.93,1
6,[10],"[4, 7]",18.3,11.63,13.15,1
7,"[120, 10]","[13, 8, 7]",21.7,28.15,31.32,2
8,[110],"[7, 5]",2.0,7.93,9.93,1
9,"[21, 110]","[1, 4, 8]",28.0,33.23,37.22,2
10,[110],"[5, 8]",2.0,9.23,11.23,1
11,-,-,-,-,5.7,1
12,[120],"[9, 0]",2.0,19.47,21.47,1
13,[20],"[10, 4]",2.0,5.92,7.92,1
14,"[121, 110]","[2, 4, 5]",24.0,18.47,22.47,2
15,[20],"[14, 4]",2.0,21.55,23.55,1
16,[21],"[2, 0]",2.0,11.42,13.42,1
17,"[21, 110]","[3, 4, 7]",22.7,20.7,24.38,2
18,"[10, 21]","[6, 4, 3]",4.0,17.93,21.93,2
19,[120],"[9, 0]",10.2,22.82,21.47,1
20,"[21, 120]","[2, 0, 9]",9.7,35.05,30.58,2
21,"[10, 121]","[5, 4, 2]",24.0,18.47,22.47,2
22,[120],"[10, 12]",4.0,21.68,12.32,1
23,"[10, 20]","[6, 4, 14]",6.0,30.25,34.25,2
24,[121],"[0, 4]",5.2,26.08,28.0,1
25,-,-,-,-,24.05,2
26,"[121, 20]","[3, 4, 9]",8.9,21.05,25.05,2
27,[120],"[11, 14]",2.0,11.08,13.08,1
28,[10],"[5, 7]",2.0,7.93,9.93,1
29,[121],"[2, 3]",2.0,5.53,7.53,1
30,[121],"[3, 0]",2.0,16.85,18.85,1
31,"[20, 110]","[9, 4, 7]",6.0,22.97,20.15,2
32,"[20, 110]","[9, 4, 6]",20.1,20.53,21.98,2
33,[121],"[4, 0]",11.0,26.08,28.0,1
34,[120],"[8, 0]",21.6,33.58,32.23,1
35,-,-,-,-,24.05,2
36,"[120, 10]","[14, 8, 7]",23.7,31.83,32.53,2
37,"[110, 20]","[5, 4, 14]",26.0,25.25,29.25,2
38,[110],"[7, 5]",2.0,7.93,9.93,1
39,-,-,-,-,19.02,1
40,[20],"[9, 4]",2.0,11.82,13.82,1
41,[20],"[10, 4]",2.0,5.92,7.92,1
42,"[21, 110]","[3, 4, 5]",11.4,12.92,16.93,2
43,[20],"[11, 4]",2.0,10.8,12.8,1
44,"[21, 20]","[2, 4, 14]",8.0,36.32,23.35,2
45,"[121, 20]","[3, 4, 11]",9.2,20.03,24.03,2
46,[110],"[8, 4]",2.0,12.92,14.92,1
47,"[21, 110]","[3, 4, 7]",22.7,20.7,24.38,2
48,[20],"[11, 10]",2.0,5.53,7.53,1
49,[120],"[11, 10]",2.0,5.53,7.53,1
