user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[0, 6]","[1, 6, 10]",10.4,24.58,23.0,2
1,[16],"[10, 14]",4.0,10.07,8.55,1
2,"[10, 6]","[18, 6, 8]",15.2,23.72,19.53,2
3,[0],"[2, 0]",2.0,5.45,7.45,1
4,"[16, 0]","[11, 6, 0]",4.0,29.98,19.9,1
5,[0],"[6, 19]",2.0,2.87,4.87,1
6,"[6, 10]","[8, 6, 20]",6.0,18.42,22.42,2
7,"[10, 16]","[5, 6, 14]",12.9,9.5,13.48,2
8,"[0, 16]","[18, 6, 16]",4.9,4.7,8.68,2
9,[0],"[18, 0]",17.1,20.12,22.12,1
10,[16],"[12, 13]",2.0,2.57,4.57,1
11,-,-,-,-,21.4,2
12,[6],"[8, 6]",10.0,19.75,14.67,1
13,[6],"[12, 10]",2.0,5.45,7.45,1
14,"[10, 6]","[5, 6, 12]",18.3,13.13,16.93,2
15,"[6, 10]","[12, 6, 17]",10.9,13.23,17.23,2
16,"[0, 6]","[3, 6, 16]",4.0,9.53,13.53,2
17,[6],"[13, 15]",2.0,5.15,7.15,1
18,[6],"[13, 11]",2.0,6.43,8.43,1
19,[10],"[3, 6]",2.0,7.72,9.72,1
20,[16],"[10, 12]",4.0,7.72,7.45,1
21,"[10, 16]","[1, 6, 16]",22.9,15.37,19.23,2
22,"[10, 6]","[4, 6, 11]",22.3,18.27,20.58,2
23,"[16, 0]","[16, 6, 0]",17.7,20.1,18.77,1
24,[10],"[5, 3]",2.0,5.15,7.15,1
25,[16],"[13, 16]",2.0,7.82,9.82,1
26,"[6, 0]","[11, 6, 1]",21.0,27.5,26.53,2
27,[16],"[16, 15]",2.0,2.87,4.87,1
28,"[16, 10]","[9, 6, 17]",16.2,21.13,18.37,2
29,[6],"[9, 16]",6.0,16.65,11.8,1
30,[16],"[13, 12]",2.0,2.57,4.57,1
31,[0],"[0, 17]",6.0,20.53,21.12,1
32,"[16, 0]","[15, 6, 18]",12.2,7.52,11.5,2
33,[0],"[2, 4]",2.0,8.62,10.62,1
34,"[6, 10]","[9, 6, 17]",12.9,19.67,18.37,2
35,"[10, 6]","[20, 6, 12]",4.0,16.12,20.12,2
36,[0],"[18, 2]",17.4,18.62,17.05,1
37,"[16, 10]","[16, 6, 1]",4.0,15.23,19.23,2
38,"[6, 0]","[14, 6, 4]",8.2,10.78,14.77,2
39,"[16, 10]","[9, 6, 19]",22.3,14.37,18.37,2
40,[16],"[11, 12]",2.0,3.85,5.85,1
41,[10],"[17, 1]",9.7,17.02,17.63,1
42,"[6, 10]","[15, 6, 17]",20.0,7.52,11.5,2
43,-,-,-,-,19.3,2
44,[6],"[8, 9]",2.0,1.28,3.28,1
45,"[6, 0]","[15, 6, 20]",6.0,10.45,14.38,2
46,"[16, 0]","[14, 6, 20]",21.7,13.93,16.67,2
47,[16],"[13, 9]",2.0,8.62,10.62,1
48,"[10, 16]","[5, 6, 12]",20.8,13.02,16.93,2
49,"[6, 10]","[11, 6, 4]",22.4,18.15,20.58,2
50,"[16, 0]","[13, 6, 3]",6.0,17.22,21.08,2
51,"[0, 16]","[18, 6, 16]",4.9,4.7,8.68,2
52,[0],"[17, 2]",15.8,15.07,16.37,1
53,[6],"[14, 10]",6.0,11.35,8.55,1
54,"[16, 0]","[7, 6, 2]",6.8,24.3,19.25,2
55,"[10, 6]","[1, 6, 10]",8.0,23.92,23.0,2
56,"[0, 16]","[2, 6, 14]",25.0,19.12,23.12,2
57,-,-,-,-,26.57,2
58,[10],"[17, 3]",2.0,10.37,12.37,1
59,[16],"[11, 9]",2.0,4.07,6.07,1
60,[6],"[15, 8]",2.0,9.08,11.08,1
61,-,-,-,-,18.22,2
62,[0],"[1, 2]",2.0,1.28,3.28,1
63,"[16, 10]","[16, 6, 0]",15.7,20.6,18.77,1
64,[0],"[3, 5]",2.0,5.15,7.15,1
65,[16],"[14, 16]",2.0,5.3,7.3,1
66,[0],"[5, 1]",2.0,10.98,12.98,1
67,[6],"[12, 16]",4.0,8.62,10.62,1
68,"[0, 6]","[17, 6, 9]",4.0,14.37,18.37,2
69,"[6, 10]","[10, 6, 4]",6.0,15.05,18.22,2
