number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,07:00:00,[],[]
2,29,07:05:45,09:24:15,['16'],[]
3,6,09:30:00,09:32:00,[],['16']
4,31,09:43:51,10:27:00,['43'],[]
5,17,10:37:17,10:51:59,['30'],[]
6,6,10:54:51,10:56:51,[],"['30', '43']"
7,29,11:02:36,11:37:00,['10'],[]
8,6,11:42:45,13:42:51,"['49', '42', '13', '21']",['10']
9,28,13:57:13,14:43:38,['4'],"['42', '13', '49', '21']"
10,6,14:58:00,15:56:44,"['11', '32']",['4']
11,28,16:11:06,16:13:06,[],"['11', '32']"
12,17,16:25:57,16:27:57,['33'],[]
13,6,16:30:49,19:00:00,[],['33']
