number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,07:00:00,[],[]
2,11,07:12:44,08:17:00,['57'],[]
3,12,08:20:51,08:32:00,"['11', '64']",[]
4,6,08:42:22,08:59:39,['20'],"['57', '11', '64']"
5,14,09:06:34,09:08:34,[],['20']
6,12,09:12:12,09:16:23,['65'],[]
7,0,09:36:01,09:38:01,['27'],['65']
8,11,09:55:55,10:02:31,['6'],[]
9,14,10:09:26,10:11:26,[],['27']
10,6,10:18:21,11:13:28,['66'],['6']
11,9,11:24:58,11:42:00,['48'],['66']
12,10,11:43:17,11:54:20,['26'],[]
13,11,11:58:11,12:00:11,['59'],[]
14,13,12:06:37,12:08:37,[],['48']
15,6,12:17:59,12:19:59,['33'],"['26', '59']"
16,7,12:31:38,12:36:30,[],['33']
17,8,12:40:21,13:52:00,['21'],[]
18,7,13:55:51,13:57:51,[],['21']
19,0,14:07:39,14:09:39,"['41', '63']",[]
20,9,14:23:30,14:25:30,[],['41']
21,6,14:37:00,19:00:00,[],['63']
