number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,22,07:06:26,08:07:00,['47'],[]
3,0,08:13:26,08:58:00,['42'],['47']
4,21,09:02:38,09:07:33,[],['42']
5,22,09:10:07,09:17:00,['0'],[]
6,28,09:30:07,09:38:02,['21'],['0']
7,27,09:41:40,09:43:40,[],['21']
8,25,09:47:31,09:51:31,['25'],[]
9,27,09:55:22,09:57:22,[],['25']
10,0,10:13:16,10:30:22,['44'],[]
11,21,10:35:00,10:37:00,"['43', '52']",[]
12,24,10:43:26,10:47:25,['34'],[]
13,26,10:52:34,10:54:34,[],"['34', '52']"
14,28,10:59:12,11:01:12,"['5', '56', '55', '39']","['43', '44']"
15,27,11:04:50,11:06:50,[],"['56', '55', '39']"
16,0,11:22:44,19:00:00,[],['5']
