user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[29],"[10, 12]",2.0,6.92,8.92,1
1,[19],"[9, 7]",2.0,14.27,16.27,1
2,"[28, 29]","[2, 3, 8]",13.9,7.62,11.62,2
3,"[19, 18]","[10, 3, 5]",4.0,15.7,19.7,2
4,[18],"[5, 0]",2.0,14.82,16.82,1
5,[18],"[4, 6]",2.0,5.92,7.92,1
6,[29],"[10, 11]",2.0,1.95,3.95,1
7,[29],"[11, 10]",2.0,1.95,3.95,1
8,"[19, 28]","[10, 3, 2]",22.3,13.25,17.25,2
9,[29],"[9, 3]",2.0,7.62,9.62,1
10,[28],"[2, 0]",2.0,7.13,9.13,1
11,[29],"[8, 13]",2.0,12.53,14.53,1
12,[19],"[3, 12]",4.0,16.72,18.67,1
13,[19],"[8, 13]",2.0,12.53,14.53,1
14,"[19, 28]","[7, 3, 1]",6.0,14.05,13.7,2
15,[19],"[13, 11]",2.0,5.72,7.72,1
16,[19],"[9, 13]",2.0,9.1,11.1,1
17,"[29, 18]","[10, 3, 5]",24.0,15.7,19.7,2
18,[29],"[11, 12]",2.0,5.72,7.72,1
19,[19],"[3, 12]",4.0,16.72,18.67,1
20,[18],"[0, 1]",2.0,6.23,8.23,1
21,[29],"[3, 11]",2.0,11.08,13.08,1
22,[19],"[3, 10]",2.0,9.78,11.78,1
23,[28],"[4, 1]",15.6,10.38,12.38,1
24,[29],"[3, 13]",14.1,17.53,18.67,1
25,[29],"[13, 7]",2.0,23.35,25.35,1
26,[19],"[3, 7]",2.0,7.13,9.13,1
27,[28],"[3, 2]",2.0,3.47,5.47,1
28,[18],"[0, 3]",4.0,13.15,11.32,1
29,[29],"[10, 8]",2.0,5.72,7.72,1
