user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[28],"[6, 5]",2.0,0.7,2.7,1
1,[28],"[0, 2]",2.0,7.13,9.13,1
2,"[19, 28]","[13, 3, 4]",4.0,20.13,24.13,2
3,"[19, 18]","[10, 3, 2]",13.8,13.57,17.25,2
4,[28],"[2, 5]",4.0,12.63,9.83,1
5,[28],"[5, 2]",2.0,7.83,9.83,1
6,"[19, 18]","[12, 3, 0]",18.9,27.62,25.5,1
7,"[19, 28]","[8, 3, 4]",19.0,7.62,11.62,2
8,"[19, 18]","[9, 3, 2]",6.3,11.08,15.08,2
9,[19],"[7, 10]",20.1,16.98,18.05,1
10,"[19, 28]","[10, 3, 5]",23.1,15.7,19.7,2
11,"[28, 19]","[4, 3, 9]",19.0,11.08,15.08,2
12,[28],"[2, 4]",2.0,6.92,8.92,1
13,[19],"[8, 11]",2.0,6.92,8.92,1
14,[28],"[1, 2]",2.0,3.47,5.47,1
15,"[18, 19]","[1, 3, 8]",4.0,11.08,15.07,2
16,"[19, 28]","[8, 3, 5]",4.0,10.07,14.07,2
17,[18],"[3, 4]",2.0,3.47,5.47,1
18,"[28, 19]","[4, 3, 9]",12.2,11.08,15.08,2
19,[28],"[5, 2]",2.0,7.83,9.83,1
