number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,7,07:03:28,08:37:00,['62'],[]
3,3,08:44:08,08:57:28,"['51', '14', '6', '13']",[]
4,9,09:05:05,09:07:05,[],"['13', '51']"
5,11,09:10:33,09:15:13,[],['14']
6,12,09:20:56,09:22:56,[],"['62', '6']"
7,10,09:29:51,09:32:00,['21'],[]
8,9,09:34:30,09:37:00,['41'],[]
9,3,09:44:37,09:46:37,[],"['41', '21']"
10,8,09:50:46,10:09:55,['32'],[]
11,3,10:14:04,10:16:36,[],['32']
12,7,10:23:44,10:25:44,['46'],[]
13,9,10:40:00,10:42:00,['0'],['46']
14,11,10:45:28,10:47:28,[],['0']
15,3,10:58:33,11:00:50,['30'],[]
16,11,11:11:55,11:13:55,[],['30']
17,3,11:25:00,11:27:00,"['28', '60', '1']",[]
18,8,11:31:09,11:33:09,['55'],[]
19,10,11:38:52,11:40:52,[],"['55', '60']"
20,13,11:48:19,11:51:11,['31'],"['28', '1']"
21,7,12:14:32,12:16:32,[],['31']
22,0,12:20:00,12:22:00,"['12', '45']",[]
23,10,12:38:52,12:40:52,[],['45']
24,8,12:46:35,12:48:35,['57'],[]
25,10,12:54:18,12:56:18,[],['57']
26,13,13:03:45,13:12:00,"['52', '11']",['12']
27,12,13:14:46,13:16:46,[],['11']
28,10,13:23:41,13:25:41,[],['52']
29,7,13:41:44,13:47:00,['25'],[]
30,3,13:54:08,13:56:08,['42'],[]
31,9,14:03:45,14:07:00,['20'],[]
32,11,14:10:28,14:17:00,['17'],"['20', '25']"
33,13,14:22:43,14:32:08,[],"['42', '17']"
34,0,14:56:27,19:00:00,[],[]
