number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,10,07:16:52,11:22:00,['11'],[]
3,3,11:31:47,11:44:55,['3'],[]
4,0,11:54:14,12:12:49,[],"['11', '3']"
5,7,12:16:17,12:22:00,['18'],[]
6,0,12:25:28,13:17:50,['13'],['18']
7,9,13:33:19,13:42:00,['14'],[]
8,12,13:51:06,14:04:20,[],['13']
9,13,14:07:06,14:09:06,[],['14']
10,10,14:16:33,15:57:00,['8'],[]
11,8,16:02:43,16:12:00,['2'],[]
12,3,16:16:09,16:18:09,[],"['2', '8']"
13,0,16:27:28,19:00:00,[],[]
