number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,1,07:06:14,08:20:07,['14'],[]
3,4,08:30:30,08:52:33,"['35', '29', '42']",['14']
4,3,08:56:01,08:58:01,[],"['35', '29', '42']"
5,1,09:04:56,09:16:04,['47'],[]
6,2,09:19:32,09:21:32,[],['47']
7,1,09:25:00,09:27:00,['36'],[]
8,2,09:30:28,09:32:28,['3'],[]
9,3,09:35:56,09:37:56,[],['3']
10,5,09:43:51,09:45:51,[],['36']
11,6,09:46:33,10:12:00,['27'],[]
12,5,10:12:42,10:17:00,['38'],[]
13,4,10:22:43,10:32:55,['22'],['27']
14,2,10:39:50,10:41:50,[],"['38', '22']"
15,0,10:48:58,10:51:32,['39'],[]
16,1,10:57:46,10:59:46,[],['39']
17,3,11:06:41,11:15:40,"['30', '10', '40']",[]
18,4,11:19:08,11:22:44,['19'],"['30', '10', '40']"
19,6,11:28:39,11:32:51,[],['19']
20,0,11:47:15,19:00:00,[],[]
