number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:54:32,['9'],[]
2,24,09:15:24,10:16:11,['10'],['9']
3,21,10:28:39,10:30:39,[],['10']
4,22,10:34:11,10:47:00,['11'],[]
5,24,10:56:02,10:58:02,[],['11']
6,22,11:07:04,11:48:30,['1'],[]
7,24,11:57:32,12:25:58,['16'],['1']
8,22,12:35:00,12:37:00,['22'],[]
9,21,12:40:32,12:44:44,['0'],[]
10,0,12:53:18,13:55:49,['15'],"['0', '16', '22']"
11,21,14:04:23,14:06:23,[],['15']
12,0,14:14:57,15:01:08,['12'],[]
13,22,15:12:59,15:20:59,[],['12']
14,0,15:32:50,19:00:00,[],[]
