number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,21,07:08:34,08:27:00,['32'],[]
3,0,08:35:34,09:51:26,['41'],['32']
4,21,10:00:00,10:02:00,['34'],[]
5,22,10:05:32,10:15:39,[],['41']
6,24,10:24:41,10:27:00,['18'],['34']
7,21,10:39:28,10:41:28,[],['18']
8,0,10:50:02,11:38:00,['21'],[]
9,21,11:46:34,11:48:34,[],['21']
10,22,11:52:06,12:22:32,['8'],[]
11,24,12:31:34,12:33:34,[],['8']
12,21,12:46:02,13:07:00,"['49', '48']",[]
13,22,13:10:32,13:12:32,[],['48']
14,23,13:16:04,13:25:41,[],['49']
15,24,13:31:13,13:33:13,['57'],[]
16,0,13:54:05,19:00:00,[],['57']
